Player,PTS,AST,TRB,PerfScore,ClusterLabel,Salary_M,PerfPerM
Payton Pritchard,913.0,283.0,221.0,1417.0,Fair Value,7.23,196.0
Dyson Daniels,614.0,327.0,342.0,1283.0,Fair Value,7.71,166.4
Amen Thompson,917.0,281.0,394.0,1592.0,Fair Value,9.69,164.3
Anthony Black,852.0,212.0,214.0,1278.0,Fair Value,7.97,160.3
Kon Knueppel,1021.0,192.0,297.0,1510.0,Fair Value,10.02,150.7
Naji Marshall,798.0,158.0,261.0,1217.0,Fair Value,9.0,135.2
Stephon Castle,728.0,307.0,222.0,1257.0,Fair Value,9.56,131.5
Deni Avdija,1158.0,305.0,330.0,1793.0,Fair Value,14.38,124.7
Victor Wembanyama,976.0,110.0,443.0,1529.0,Fair Value,13.38,114.3
Cooper Flagg,999.0,202.0,321.0,1522.0,Fair Value,13.83,110.0
VJ Edgecombe,744.0,206.0,270.0,1220.0,Fair Value,11.11,109.8
Jabari Smith Jr.,791.0,96.0,367.0,1254.0,Fair Value,12.35,101.5
Donte DiVincenzo,716.0,234.0,251.0,1201.0,Fair Value,11.99,100.2
Chet Holmgren,855.0,80.0,426.0,1361.0,Fair Value,13.73,99.1
Wendell Carter Jr.,592.0,106.0,375.0,1073.0,Fair Value,10.85,98.9
Royce O'Neale,569.0,160.0,266.0,995.0,Fair Value,10.12,98.3
Nickeil Alexander-Walker,1084.0,200.0,195.0,1479.0,Fair Value,15.16,97.6
Paolo Banchero,916.0,206.0,362.0,1484.0,Fair Value,15.33,96.8
Alex Sarr,704.0,115.0,319.0,1138.0,Fair Value,11.81,96.4
Reed Sheppard,671.0,159.0,137.0,967.0,Fair Value,10.6,91.2
Brandon Miller,784.0,125.0,180.0,1089.0,Fair Value,11.97,91.0
Onyeka Okongwu,812.0,162.0,385.0,1359.0,Fair Value,15.0,90.6
Bobby Portis,671.0,83.0,335.0,1089.0,Fair Value,13.45,81.0
Davion Mitchell,416.0,324.0,113.0,853.0,Fair Value,11.6,73.5
Austin Reaves,712.0,168.0,141.0,1021.0,Fair Value,13.94,73.2
Jalen Johnson,1164.0,409.0,532.0,2105.0,Fair Value,30.0,70.2
Andrew Nembhard,749.0,321.0,127.0,1197.0,Fair Value,18.1,66.1
Trey Murphy III,1149.0,199.0,297.0,1645.0,Fair Value,25.0,65.8
Ivica Zubac,619.0,96.0,473.0,1188.0,Fair Value,18.1,65.6
Keldon Johnson,729.0,78.0,318.0,1125.0,Fair Value,17.5,64.3
Norman Powell,1034.0,116.0,164.0,1314.0,Fair Value,20.48,64.2
P.J. Washington,551.0,73.0,272.0,896.0,Fair Value,14.15,63.3
Julius Randle,1251.0,302.0,391.0,1944.0,Fair Value,30.86,63.0
Dillon Brooks,1039.0,88.0,180.0,1307.0,Fair Value,21.12,61.9
Naz Reid,793.0,139.0,359.0,1291.0,Fair Value,21.55,59.9
Miles Bridges,963.0,184.0,322.0,1469.0,Fair Value,25.0,58.8
DeMar DeRozan,1047.0,211.0,177.0,1435.0,Fair Value,24.57,58.4
Josh Hart,523.0,225.0,327.0,1075.0,Fair Value,19.47,55.2
Santi Aldama,602.0,126.0,287.0,1015.0,Fair Value,18.49,54.9
Tyrese Maxey,1503.0,351.0,214.0,2068.0,Fair Value,37.96,54.5
Shai Gilgeous-Alexander,1558.0,314.0,218.0,2090.0,Fair Value,38.33,54.5
Jarrett Allen,628.0,85.0,356.0,1069.0,Fair Value,20.0,53.4
Mikal Bridges,876.0,224.0,230.0,1330.0,Fair Value,24.9,53.4
Isaiah Stewart,479.0,55.0,247.0,781.0,Fair Value,15.0,52.1
Jalen Brunson,1351.0,305.0,166.0,1822.0,Fair Value,34.94,52.1
Derrick White,896.0,290.0,228.0,1414.0,Fair Value,28.1,50.3
Grayson Allen,596.0,140.0,106.0,842.0,Fair Value,16.88,49.9
Jaden McDaniels,809.0,155.0,231.0,1195.0,Fair Value,24.39,49.0
Josh Giddey,631.0,299.0,292.0,1222.0,Fair Value,25.0,48.9
Collin Sexton,649.0,163.0,91.0,903.0,Fair Value,18.98,47.6
Nic Claxton,626.0,198.0,365.0,1189.0,Fair Value,25.35,46.9
Scottie Barnes,1043.0,303.0,454.0,1800.0,Fair Value,38.66,46.6
Kyle Kuzma,645.0,127.0,249.0,1021.0,Fair Value,22.41,45.6
James Harden,1176.0,384.0,228.0,1788.0,Fair Value,39.18,45.6
Harrison Barnes,572.0,113.0,161.0,846.0,Fair Value,19.0,44.5
Kevin Huerter,496.0,119.0,176.0,791.0,Fair Value,17.99,44.0
Immanuel Quickley,885.0,315.0,227.0,1427.0,Fair Value,32.5,43.9
Brandon Ingram,1156.0,194.0,304.0,1654.0,Fair Value,38.1,43.4
Donovan Mitchell,1478.0,302.0,229.0,2009.0,Fair Value,46.39,43.3
CJ McCollum,957.0,182.0,174.0,1313.0,Fair Value,30.67,42.8
Terance Mann,347.0,157.0,150.0,654.0,Fair Value,15.5,42.2
Andrew Wiggins,797.0,138.0,250.0,1185.0,Fair Value,28.22,42.0
Cade Cunningham,1191.0,452.0,265.0,1908.0,Fair Value,46.39,41.1
Jamal Murray,1286.0,380.0,219.0,1885.0,Fair Value,46.39,40.6
Desmond Bane,1040.0,221.0,222.0,1483.0,Fair Value,36.73,40.4
Bam Adebayo,885.0,134.0,475.0,1494.0,Fair Value,37.1,40.3
Rui Hachimura,534.0,40.0,155.0,729.0,Fair Value,18.26,39.9
Myles Turner,636.0,81.0,285.0,1002.0,Fair Value,25.32,39.6
Anthony Edwards,1348.0,171.0,240.0,1759.0,Fair Value,45.55,38.6
Pascal Siakam,1211.0,201.0,343.0,1755.0,Fair Value,45.55,38.5
De'Andre Hunter,615.0,90.0,185.0,890.0,Fair Value,23.3,38.2
John Collins,706.0,47.0,260.0,1013.0,Fair Value,26.58,38.1
Michael Porter Jr.,1025.0,130.0,294.0,1449.0,Fair Value,38.33,37.8
Jaylen Brown,1435.0,229.0,336.0,2000.0,Fair Value,53.14,37.6
LaMelo Ball,867.0,332.0,216.0,1415.0,Fair Value,37.96,37.3
Anfernee Simons,761.0,133.0,132.0,1026.0,Fair Value,27.68,37.1
Jaren Jackson Jr.,931.0,94.0,272.0,1297.0,Fair Value,35.0,37.1
Rudy Gobert,593.0,90.0,602.0,1285.0,Fair Value,35.0,36.7
De'Aaron Fox,874.0,282.0,173.0,1329.0,Fair Value,37.1,35.8
Draymond Green,397.0,237.0,264.0,898.0,Fair Value,25.89,34.7
Karl-Anthony Towns,1010.0,148.0,607.0,1765.0,Fair Value,53.14,33.2
Kevin Durant,1291.0,222.0,267.0,1780.0,Fair Value,54.71,32.5
Duncan Robinson,625.0,95.0,137.0,857.0,Fair Value,26.72,32.1
Kentavious Caldwell-Pope,428.0,139.0,125.0,692.0,Fair Value,21.62,32.0
Zion Williamson,864.0,140.0,244.0,1248.0,Fair Value,39.45,31.6
Lauri Markkanen,1094.0,87.0,286.0,1467.0,Fair Value,46.39,31.6
Kawhi Leonard,1143.0,151.0,264.0,1558.0,Fair Value,50.0,31.2
Devin Vassell,578.0,95.0,158.0,831.0,Fair Value,27.0,30.8
Jerami Grant,750.0,95.0,141.0,986.0,Fair Value,32.0,30.8
RJ Barrett,575.0,111.0,162.0,848.0,Fair Value,27.71,30.6
Tobias Harris,497.0,86.0,181.0,764.0,Fair Value,26.63,28.7
Devin Booker,1083.0,270.0,171.0,1524.0,Fair Value,53.14,28.7
Evan Mobley,752.0,170.0,368.0,1290.0,Fair Value,46.39,27.8
Marcus Smart,433.0,127.0,131.0,691.0,Fair Value,26.72,25.9
OG Anunoby,679.0,97.0,225.0,1001.0,Fair Value,39.57,25.3
