Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Shai Gilgeous-Alexander,27,OKC,PG,49,49,1632,534,964,.554,87,223,.390,447,741,.603,.599,403,452,.892,27,191,218,314,64,38,103,101,1558,0,,gilgesh01
2,Tyrese Maxey,25,PHI,PG,52,52,2008,524,1117,.469,174,459,.379,350,658,.532,.547,281,316,.889,14,200,214,351,102,40,126,118,1503,0,,maxeyty01
3,Donovan Mitchell,29,CLE,SG,51,51,1719,516,1060,.487,185,492,.376,331,568,.583,.574,261,306,.853,41,188,229,302,79,15,159,125,1478,0,,mitchdo01
4,Jaylen Brown,29,BOS,SF,49,49,1676,534,1105,.483,102,293,.348,432,812,.532,.529,265,342,.775,57,279,336,229,49,20,176,136,1435,2,,brownja02
5,Luka Dončić,26,LAL,PG,42,42,1492,437,923,.473,149,432,.345,288,491,.587,.554,356,456,.781,32,297,329,360,61,19,179,102,1379,6,,doncilu01
6,Jalen Brunson,29,NYK,PG,50,50,1728,481,1024,.470,146,390,.374,335,634,.528,.541,243,287,.847,26,140,166,305,36,5,110,116,1351,0,,brunsja01
7,Anthony Edwards,24,MIN,SG,46,46,1632,463,940,.493,155,386,.402,308,554,.556,.575,267,336,.795,31,209,240,171,62,38,124,84,1348,0,,edwaran01
8,Kevin Durant,37,HOU,SF,50,50,1835,452,894,.506,116,288,.403,336,606,.554,.570,271,308,.880,25,242,267,222,42,44,161,101,1291,0,,duranke01
9,Jamal Murray,28,DEN,PG,50,50,1780,454,937,.485,158,372,.425,296,565,.524,.569,220,248,.887,21,198,219,380,48,19,115,78,1286,0,,murraja01
10,Julius Randle,31,MIN,PF,56,56,1882,438,891,.492,87,268,.325,351,623,.563,.540,288,350,.823,94,297,391,302,62,14,144,159,1251,3,,randlju01
11,Pascal Siakam,31,IND,PF,51,51,1723,455,947,.480,93,252,.369,362,695,.521,.530,208,306,.680,79,264,343,201,57,23,111,123,1211,0,,siakapa01
12,Cade Cunningham,24,DET,PG,47,47,1640,416,901,.462,90,273,.330,326,628,.519,.512,269,333,.808,45,220,265,452,69,39,173,149,1191,3,,cunnica01
13,James Harden,36,2TM,PG,47,47,1656,338,804,.420,143,408,.350,195,396,.492,.509,357,396,.902,30,198,228,384,58,20,173,90,1176,2,,hardeja01
13,James Harden,36,LAC,PG,44,44,1559,323,771,.419,135,389,.347,188,382,.492,.506,337,374,.901,27,185,212,358,57,16,162,83,1118,2,,hardeja01
13,James Harden,36,CLE,PG,3,3,97,15,33,.455,8,19,.421,7,14,.500,.576,20,22,.909,3,13,16,26,1,4,11,7,58,0,,hardeja01
14,Jalen Johnson,24,ATL,SF,50,50,1785,432,861,.502,83,235,.353,349,626,.558,.550,217,279,.778,78,454,532,409,66,25,172,107,1164,10,,johnsja05
15,Deni Avdija,25,POR,SF,46,46,1577,354,765,.463,102,295,.346,252,470,.536,.529,348,434,.802,53,277,330,305,38,28,178,122,1158,3,,avdijde01
16,Brandon Ingram,28,TOR,SF,53,53,1800,430,908,.474,96,263,.365,334,645,.518,.526,200,239,.837,43,261,304,194,41,42,132,103,1156,0,,ingrabr01
17,Trey Murphy III,25,NOP,SF,52,52,1853,404,848,.476,168,445,.378,236,403,.586,.575,173,194,.892,55,242,297,199,78,16,95,110,1149,0,,murphtr02
